row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1601.0,756310,SECRETARY ? Colombo 01 (1),Maritime Placements (Pvt) Ltd,Kindly refer advert,Sat May 23 2020,,Sat Jun 20 2020,yellow
1602.0,756304,Senior Software Engineer,RedLabs (Pvt) Ltd,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1603.0,756303,Sales & Marketing Executives,Elcardo Industries (Pvt) Ltd,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1604.0,756298,Assistant Manager - Electrical Department,RN Constructions (Pvt) Ltd,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1605.0,756295,Senior Technical Project Manager / Technical Project Manager,Synergen Health (Pvt) Ltd,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1606.0,756294,Print Production Manager,Company Name Withheld,Previous experience in a similar position in a printing press or printing environment is essential / Minimum 05 years' experience in management role / Soun ....,Sat May 23 2020,,Sat Jun 13 2020,yellow
1607.0,756293,Tech Lead / Associate Tech Lead / Senior Software Engineer (Java),Dream Squad,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1608.0,756292,Senior Mobile Developer - Flutter,Dream Squad,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1609.0,756291,Manager Relationship / Assistant Manager Relationship - Collections,Homelands Skyline (Pvt) Ltd,"manager: 7 - 10 years experience in customer relations, Real-estate management, finance & Banking or similar industry / Bachelor's degree or equivalent pro ....",Sat May 23 2020,,Sat Jun 13 2020,yellow
1610.0,756290,QA Engineer / QA Associate,myDigitalOffice,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1611.0,756289,Software Development Manager / Project Manager,myDigitalOffice,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1612.0,756288,Hotel Vacancies,Hotel Sanushi,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1613.0,756287,Senior Analyst Anti Virus,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1614.0,756286,Senior Administrator Application Server,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1615.0,756285,Senior Specialist Desk Side Services,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1616.0,756284,Specialist Rubrik,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1617.0,756283,Specialist EMC,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1618.0,756282,Senior Specialist Helpdesk,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1619.0,756281,Consultant Infrastructure Apps,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1620.0,756280,Senior Specialist Linux,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1621.0,756279,Specialist MS Exchange,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1622.0,756278,Specialist MS SQL,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1623.0,756277,Specialist NetApps,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1624.0,756276,Senior Specialist Network Data,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1625.0,756275,Senior Specialist Oracle,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1626.0,756274,Senior Specialist Operating System,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1627.0,756273,Senior Analyst Sharepoint,HCL Technologies Lanka (Private) Limited,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1628.0,756269,Tax Executive,Adamjee Lukmanjee Group of Companies,"Partly qualified in ICASL, SLIT, CTA etc.. / Minimum 02 years of Tax experience in a similar capacity / Hands on experience in RAMIS system / Age below 40 ....",Sat May 23 2020,,Sat Jun 13 2020,yellow
1629.0,756268,Engineers & Senior Engineers (Java / Full Stack / PHP / QA) / Associate Engineers & Engineers - .Net,Auxenta Digital Labs (Pvt) Ltd,Please refer the advertisement,Sat May 23 2020,,Sat Jun 13 2020,yellow
1630.0,756255,Junior Project Coordinator,Arinma Holdings (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1631.0,756254,Senior Technician / Technician - Mechanical,Jones Lang LaSalle Lanka (JLL),Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1632.0,756253,Product Manager - Mobile,Samsung Electronics,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1633.0,756252,Technical & Quality Assurance Manager (Male),Mike Flora (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1634.0,756250,Nurse,Company Name Withheld,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1635.0,756249,Communications Specialist - MDF Sri Lanka,Market Development Facility,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1636.0,756248,Electrical Engineer,Company Name Withheld,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1637.0,756247,Business Advisor - MDF Sri Lanka,Market Development Facility,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1638.0,756246,Sales Senior Executive/Executive / Business Development Senior Executive / Executive Sales Assistant,Ranvel Lanka Holdings (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1639.0,756245,Warehouse Data Entry Operator,Ranvel Lanka Holdings (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1640.0,756241,Assistant Accountant,Ranvel Lanka Holdings (Pvt) Ltd,"University Graduate or Part Qualification in ICASL/CIMA with 2 years Commercial experience, Preferably below 30 years of age and sound in Computer Literacy ....",Fri May 22 2020,,Fri Jun 12 2020,yellow
1641.0,756239,Associate System Administrator,Nagananda International Institute for Buddhist Studies (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1642.0,756236,Assistant Manager / Executive - Digital,Conexus Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1643.0,756234,Senior Operations Executive / Machine Operator (Tea Blend) / Technician (Assistant),Shan Teas (Private) Limited,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1644.0,756233,Interaction Designer,Thiken (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1645.0,756232,Sales Coordinator,Urbanspace Interiors (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1646.0,756231,Senior Interaction Designer,Thiken (Pvt) Ltd,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
1647.0,756230,Customer Care Associates,Wow solutions,Please refer the advertisement,Fri May 22 2020,,Fri Jun 12 2020,yellow
