row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
3201,960987,Cashier - Showroom (1),John Keells Office Automation (Pvt) Ltd,Pls refer the advertisement for more details,Thu May 05 2022,Sun May 22 2022,,yellow
3202,960986,Executive - Production (1),Brandix Fast Fashion,Please refer the advertisement,Thu May 05 2022,Sun Jun 05 2022,,yellow
3203,960985,Internship - Technical Division (3),John Keells Office Automation (Pvt) Ltd,Please refer the advertisement,Thu May 05 2022,Tue May 31 2022,,yellow
3204,960960,Manager - Industrial Engineering (1),Brandix Fast Fashion,Please refer the advertisement,Thu May 05 2022,Sun Jun 05 2022,,yellow
3205,955276,Brand Manager (1),Odel PLC,Please refer to the advertisement,Thu May 05 2022,Sun May 29 2022,,yellow
3206,955246,Head of Marketing (1),Odel PLC,Please refer the advertisement,Thu May 05 2022,Sun May 29 2022,,yellow
3207,950685,Associate Customer Marketing (1),Hemas Holdings PLC,Please refer the job advertisement,Thu May 05 2022,Thu May 26 2022,,yellow
3208,940296,Project Coordinator (1),Just In Time Holdings (Pvt) Ltd,Please refer the Advertisement,Thu May 05 2022,Sat May 28 2022,,yellow
3209,924137,Solutions Architect (1),Just In Time Holdings (Pvt) Ltd,Please refer the Advertisement,Thu May 05 2022,Sat May 28 2022,,yellow
3210,909407,Senior Project Manager (1),Just In Time Holdings (Pvt) Ltd,Please refer the attached advertisement,Thu May 05 2022,Sat May 28 2022,,yellow
3211,960822,Intern-Human Resources (1),Senok Trade Combine Limited,"Senok Group of Companies, an equal employment opportunity provider invites suitably competent talent to join us.",Wed May 04 2022,Tue May 31 2022,,yellow
3212,960821,Assistant Manager - Enterprise Applications (SAP FICO) (1),Senok Trade Combine Limited,Please refer the Job Advertisement.,Wed May 04 2022,Tue May 31 2022,,yellow
3213,960820,Intern - E-Commerce (1),Senok Trade Combine Limited,Please refer the Job Advertisement,Wed May 04 2022,Tue May 31 2022,,yellow
3214,960814,Executive - Counsellor (1),Brandix Apparel India,Please refer the job advertisement,Wed May 04 2022,Sat Jun 04 2022,,yellow
3215,960811,Senior Manager - Merchandising (1),Brandix Apparel India,Please refer the job advertisement,Wed May 04 2022,Sat Jun 04 2022,,yellow
3216,960774,Staff Nurse (1),Hemas Holdings PLC,please refer the advert,Wed May 04 2022,Wed Jun 29 2022,,yellow
3217,960772,Maintenance Technician (1),Hemas Holdings PLC,please refer the advert,Wed May 04 2022,Sun May 29 2022,,yellow
3218,960769,Marketing Internship (1),Hemas Holdings PLC,Please refer the advert,Wed May 04 2022,Sun May 29 2022,,yellow
3219,960705,Executive Supply Chain (1),Hemas Holdings PLC,Please refer the advert,Wed May 04 2022,Sun May 29 2022,,yellow
3220,960612,Commi I/II/III,Tribe Kitchens (Pvt) Ltd,Please refer the advertisement,Wed May 04 2022,Fri Jun 03 2022,,yellow
3221,960595,Sales and Marketing Manager (Experience in Education Industry) (1),Maritime Placements (Pvt) Ltd,Please refer the advertisement,Wed May 04 2022,Sun May 22 2022,,yellow
3222,960528,Business Development Representative (1),Exetel Communications (Pvt) Ltd,Please refer the advertisement ....,Wed May 04 2022,Wed May 25 2022,,yellow
3223,960522,Executive - Human Resources (1),MAS Intimates,Please refer attached advert for more details,Wed May 04 2022,Tue May 31 2022,,yellow
3224,960463,Senior Software Engineer (1),Just In Time Holdings (Pvt) Ltd,Please refer the advertisement,Wed May 04 2022,Sat Jun 04 2022,,yellow
3225,959741,Data Entry Operator,Micronet Global Services (Pvt) Ltd,Please refer the advertisement,Wed May 04 2022,Sun Jul 31 2022,,yellow
3226,958645,Assistant Manager - Human Resources,Micronet Global Services (Pvt) Ltd,Please refer the advertisement,Wed May 04 2022,Sun Jul 31 2022,,yellow
3227,958149,Junior / Senior secretary,Micronet Global Services (Pvt) Ltd,Immediate Vacancy.Please refer,Wed May 04 2022,Sun Jul 31 2022,,yellow
3228,953154,Senior HR Executive - Colombo,Micronet Global Services (Pvt) Ltd,Residing Colombo applicants only,Wed May 04 2022,Sun Jul 31 2022,,yellow
3229,943575,Java Developer,Micronet Global Services (Pvt) Ltd,Please refer the advertisment,Wed May 04 2022,Sun Jul 31 2022,,yellow
3230,943569,Administrative Assistant,Micronet Global Services (Pvt) Ltd,Administrative Assistant for a well-reputed bank,Wed May 04 2022,Sun Jul 31 2022,,yellow
3231,936861,Butler - Dickoya (1),Teardrop Boutique Management,Please refer the advert,Wed May 04 2022,Thu Jun 30 2022,,yellow
3232,960458,Senior Process Associate/Team Lead ? Quality Assurance (1),InfoMate (Pvt) Ltd,Infomate is a John Keells Group company. Please register in our career site on https://careers.keells.com/InfoMate/,Tue May 03 2022,Fri Jun 03 2022,,yellow
3233,960450,Vacancies (10),Virtusa (Pvt.) Ltd,Please refer the advert,Tue May 03 2022,Tue May 31 2022,,yellow
3234,960443,Manager - Engineering ( Kuliyapitiya ) (1),MAS Intimates,Click on the vacancy image and apply,Tue May 03 2022,Fri May 27 2022,,yellow
3235,960427,Senior Data Analyst (1),John Keells IT,Please refer the advert,Tue May 03 2022,Fri Jun 03 2022,,yellow
3236,960416,Account Assistant (1),McLarens Holdings Limited,Please refer the advertisement,Tue May 03 2022,Tue May 31 2022,,yellow
3237,960413,Assistant Manager - Digital Marketing (1),Citizens Development Business Finance PLC,Do you have at least 3 years' experience in digital business and communication? Please refer to the job advert for further information.,Tue May 03 2022,Sun Jun 05 2022,,yellow
3238,960382,Sales Executive - Fixed Deposits | AMW Capital Leasing and Finance PLC (1),Associated Motorways (Private) Limited,Please refer the advert,Tue May 03 2022,Fri Jun 03 2022,,yellow
3239,960373,Accounts Receivable Executive (1),Exetel Communications (Pvt) Ltd,Please refer the advertisement,Tue May 03 2022,Tue May 31 2022,,yellow
