page,row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1,1,1211034,Consultant,Women In Need,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,2,1211030,Supply Chain Executive,Jayasinghe Group,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,3,1211029,Credit Controller,Jayasinghe Group,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,4,1211028,Accountants Assistant,W S K Business Services (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,5,1211027,Operations Assistants,Ceylon Shipping Lines Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,6,1211026,Technical Officer (Site Supervisor),"Ladies' College, Colombo 7",Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,7,1211025,Accounts Assistant,S S P Corporate Services (Private) Limited,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,8,1211024,Logistics Assistant,Prima Ceylon (Private) Limited,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,9,1211023,Executive - Marketing and Business Advice,Business Eye Management Services (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,10,1211022,HR Executive,Wilkins Spence Packaging Lanka (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,11,1211021,Assistant Manager Sales,Wilkins Spence Packaging Lanka (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,12,1211020,Factory Admin Officer - Male / Female,Company Name Withheld,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,13,1211019,Restaurant Executive / Resort Executive / Guest Relation Officer,Trust Lanka Holdings (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,14,1211018,Call Center Executive (Male / Female),Sponge Pastry Shop (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,15,1211017,Senior Accounts Executive,The KALA Group of Companies (Private) Limited,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,16,1211015,Constructions Supervisor,Company Name Withheld,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,17,1211014,Junior Administrative & Finance Assistant,Expertise France,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,18,1211013,Vacancy Opportunities,Company Name Withheld,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,19,1211012,Assistant Showroom Manager,Elegant Smockers Pvt Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,20,1211011,Accounts Assistant,Port Cargo Services Ceylon (Pvt) Ltd,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,21,1211010,Conveyancers,Muve,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,22,1211009,Data Entry Operator - Muthurajawela (1),JKH Transportation Sector,Refer the Advert,Sat Apr 27 2024,Thu May 30 2024,,yellow
1,23,1211008,Management Associate - Quantity Surveying,SLIIT,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,24,1211007,Executive - Operations,Fintrex Finance Limited,Please refer the vacancy,Sat Apr 27 2024,Sat May 11 2024,,yellow
1,25,1211006,Warehouse Assistant (1),JKH Transportation Sector,Refer the Advert,Sat Apr 27 2024,Wed May 15 2024,,yellow
1,26,1211005,Supervisor Administration (1),JKH Transportation Sector,Refer the Advert,Sat Apr 27 2024,Thu May 30 2024,,yellow
