page,row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1,1,1168389,Finance Manager / Assistant Finance Manager / Accounts Executive - (Hali- Ela),Orzone Mineral Water Exports (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,2,1168388,Senior Optometrist /Junior Optometrist,Medihelp Hospital,Colombo 07,Sat Jan 06 2024,Sat Jan 13 2024,,yellow
1,3,1168387,Finance Assistant / Billing Assistant,Medihelp Hospital,Horana / Mt- lavinia,Sat Jan 06 2024,Sat Jan 13 2024,,yellow
1,4,1168386,Sales Executive,Markspen Group,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 13 2024,,yellow
1,5,1168385,Secretary cum Receptionist,Markspen Group,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 13 2024,,yellow
1,6,1168384,Digital Marketing Assistant - Kadawatha,Cloud Telecom Solutions Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 13 2024,,yellow
1,7,1168383,Sous Chef / Senior CDP / Commis 1-2-3,The Social Unawatuna,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,8,1168382,Manager - Cutting,Original Apparel,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,9,1168381,System Administrator,Original Apparel,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,10,1168380,Executive - Industrial Systems Engineering (1),MAS Linea Aqua,Please click on the image to apply,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,11,1168378,Customs Brokerage Manager,SAS Holdings Group of Companies,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,12,1168377,Manager - Legal (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,13,1168376,Manager - Legal (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,14,1168375,Insurance Assistant (6 months contract) (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,15,1168374,Sales Executive,Esna Ceylon Teas (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,16,1168373,Intern - Marketing and Content Creation,IVIVA,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,17,1168372,Insurance Assistant (6 months contract) (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,18,1168371,Operations Specialists - Underwriting/ Policy Holder Servicing/ Claims Administrations (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,19,1168370,Finance Specialists - Treasury Management (2 Years Contract Basis) (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,20,1168369,Finance Specialists - Treasury Management (2 Years Contract Basis) (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,21,1168368,Customer Care Specialists (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,22,1168367,Customer Care Specialists (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,23,1168366,Executive - Sample Room (1),MAS Bodyline,Please click on the image to apply.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,24,1168365,Junior Executive - Customer Conservation (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,25,1168364,Junior Executive - Customer Conservation (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,26,1168363,Insurance Trainee - Claims Administration (1),AIA Insurance Lanka Limited,Please refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,27,1168362,Call Center Trainee (Contract Basis) (1),AIA Insurance Lanka Limited,Pls refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,28,1168361,Call Center Trainee (Contract Basis) (1),AIA Insurance Lanka Limited,Pls refer the job advert.,Sat Jan 06 2024,Tue Jan 09 2024,,yellow
1,29,1168360,IT Manager,IPD Colombo (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,30,1168359,Management Trainee,MicroChem Laboratories (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,31,1168358,PRODUCTION SUPERVISOR (1),Maritime Placements (Pvt) Ltd,Production Supervisor - Please refer the vacancy advertisement for further details,Sat Jan 06 2024,Wed Jan 10 2024,,yellow
1,32,1168357,PRODUCTION SUPERVISOR (1),Maritime Placements (Pvt) Ltd,Production Supervisor - Please refer the vacancy advertisement for further details,Sat Jan 06 2024,Wed Jan 10 2024,,yellow
1,33,1168356,PRODUCTION SUPERVISOR (1),Maritime Placements (Pvt) Ltd,Production Supervisor - Please refer the vacancy advertisement for further details,Sat Jan 06 2024,Wed Jan 10 2024,,yellow
1,34,1168355,Customer Service Assistant,Swisstek Aluminium Limited,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,35,1168354,Assistant Manager Human Resources,BCI Campus,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,36,1168353,Senior Laravel Developer,SeekaHost,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,37,1168352,Programme Coordinator,The Family Planning Association of Sri Lanka (FPA Sri Lanka),Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,38,1168351,Internal Audit Executive,Sejaya Micro Credit Limited - SMCL,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,39,1168350,Trainee Sales Operations,IVIVA,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,40,1168348,Associate Project Manager / Project Manager,IVIVA,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,41,1168347,Associate Systems Engineer (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement,Sat Jan 06 2024,Sun Jan 28 2024,,yellow
1,42,1168346,Account Manager,IVIVA,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,43,1168345,Interior Designer / Draught Person,Cplus Design (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,44,1168344,Sales Manager / Sales Executives / Regional Sales Managers,Clm Interior Studio,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,45,1168343,Associate ICT Support Specialist (Multilingual),Evoke Labs Pvt Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,46,1168342,ICT Support Specialist,Evoke Labs Pvt Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,47,1168341,Executive - IE (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement,Sat Jan 06 2024,Sun Jan 21 2024,,yellow
1,48,1168340,Business Analyst,Evoke Labs Pvt Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,49,1168339,QA Engineer / Associate QA Engineer,Evoke Labs Pvt Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,50,1168338,Executive - ESG (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement,Sat Jan 06 2024,Sun Jan 21 2024,,yellow
1,51,1168337,IT Assistant Manager,Nuwara Eliya Golf Club,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,52,1168336,HR Executive,Nuwara Eliya Golf Club,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,53,1168335,Finance Executive,Nuwara Eliya Golf Club,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,54,1168334,Finance Intern / Executive,Tea Trends Exports (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
1,55,1168333,Assistant Accountant,LSCJ Manufacturing (Pvt) Ltd,Please refer the vacancy,Sat Jan 06 2024,Sat Jan 20 2024,,yellow
