page,row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1,1,1217595,Intern,Millennium College of Aviation Studies,Please refer the vacancy,Wed May 15 2024,Wed May 29 2024,,yellow
1,2,1217594,Intern - Administration (1),Brandix Intimates - Biyagama,Please refer to the advertisement,Wed May 15 2024,Sat Jun 15 2024,,yellow
1,3,1217593,Lead Quality Assurance Engineer ( Software & Web),eMarketingEye (Pvt) Limited,Please refer to the Vacancy,Wed May 15 2024,Wed May 29 2024,,yellow
1,4,1217592,Senior Manager / Manager Business Development,eMarketingEye (Pvt) Limited,Please refer to the Vacancy,Wed May 15 2024,Wed May 29 2024,,yellow
1,5,1217591,Marketing Intern (1),Quess Corp Lanka (Private) Limited,Please refer to the advertisement,Wed May 15 2024,Wed May 22 2024,,yellow
1,6,1217590,Service Advisor (6),David Pieris Motor Company Limited,Please refer the advertisement,Wed May 15 2024,Wed May 22 2024,,yellow
1,7,1217589,Cashier,Asiri Group of Hospitals,Please refer the advertisement,Wed May 15 2024,Wed May 22 2024,,yellow
1,8,1217588,MEDICAL OFFICER - PERMANENT,Asiri Group of Hospitals,Please refer to the Vacancy,Wed May 15 2024,Wed May 22 2024,,yellow
1,9,1217587,Call Center Agent (1),Mobizz Elite (Pvt) Ltd,PRA,Wed May 15 2024,Wed May 22 2024,,yellow
1,10,1217586,Chief Executive Officer -(ICT Solution) Colombo (1),Konnect Net Pvt Ltd,Please refer the advertisement,Wed May 15 2024,Fri May 31 2024,,yellow
1,11,1217585,Director Sales- (ICT Solution) Colombo (1),Konnect Net Pvt Ltd,Please refer the advertisement,Wed May 15 2024,Fri May 31 2024,,yellow
1,12,1217584,General Manager Sales & Marketing/COO (FMCG/FOOD)-Colombo (1),Konnect Net Pvt Ltd,Please refer the advertisement,Wed May 15 2024,Fri May 31 2024,,yellow
1,13,1217580,Driver (1),Samson Manufactures Ltd,Please refer the advertisement,Wed May 15 2024,Wed May 22 2024,,yellow
1,14,1217579,DATA ENTRY OFFICER (PRODUCTION CO-ORDINATOR) (1),Samson Manufactures Ltd,Please refer the advertisement,Wed May 15 2024,Wed May 22 2024,,yellow
1,15,1217578,Executive - Financial Accounting (Horana) (1),MAS Bodyline,Click on the vacancy image to apply.,Wed May 15 2024,Wed May 22 2024,,yellow
1,16,1217577,Business Analyst ( Horana) (1),MAS Bodyline,Click on the vacancy image to apply.,Wed May 15 2024,Wed May 22 2024,,yellow
1,17,1217576,Sales Coordinator-Colombo (1),Jobfactory,Please refer the advertisement,Wed May 15 2024,Wed May 29 2024,,yellow
1,18,1217569,Full Stack Web Developer-Piliyandala (Front End & Back End) (1),Konnect Net Pvt Ltd,Please refer the advertisement,Wed May 15 2024,Fri May 31 2024,,yellow
1,19,1217514,Assistant Accountant,The KALA Group,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,20,1217510,Senior Accounts Executive,The KALA Group,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,21,1217469,Lead/ Senior DevOps Engineer,Villvay,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,22,1217436,Electrical Engineer / Project Manager,The Solar Power Company,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,23,1217387,IT Risk Officer,State Mortgage & Investment Bank,Please refer the vacancy,Wed May 15 2024,Wed May 29 2024,,yellow
1,24,1217382,IT Risk Officer,State Mortgage & Investment Bank,Please refer the vacancy,Wed May 15 2024,Wed May 29 2024,,yellow
1,25,1217333,Accounts Executive - Female,I M Solutions (Pvt) Ltd,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,26,1217146,Demi Chef De Partie / Commis 1,Paan Paan,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,27,1217051,Junior Support Engineers,Care Systems South Asia (Pvt) Ltd,Please refer the vacancy,Wed May 15 2024,Tue May 28 2024,,yellow
1,28,1216922,IT Site Support Associate,SevenX Lanka (Pvt) Ltd,Please refer the vacancy,Wed May 15 2024,Mon May 27 2024,,yellow
